TE;NP;NU;Код об’єкта Кодифікатора;Категорія об’єкта Кодифікатора;Назва об’єкта Кодифікатора
7124381201;С;ГЕРЕЖЕНІВКА;UA71060070020044694;С;Гереженівка
7124381500;;ГОРОДЕЦЬКА/С.ГОРОДЕЦЬКЕ;UA71060190000086831;Н;Паланська
7124381501;С;ГОРОДЕЦЬКЕ;UA71060190040032005;С;Городецьке
7124382000;;ГРОДЗІВСЬКА/С.ГРОДЗЕВЕ;UA71060070000098837;Н;Дмитрушківська
7124382001;С;ГРОДЗЕВЕ;UA71060070030092357;С;Гродзеве
7124382200;;ГРОМІВСЬКА/С.ГРОМИ;UA71060190000086831;Н;Паланська
7124382201;С;ГРОМИ;UA71060190050083770;С;Громи
7124382500;;ДМИТРУШКІВСЬКА/С.ДМИТРУШКИ;UA71060070000098837;Н;Дмитрушківська
7124382501;С;ДМИТРУШКИ;UA71060070010032102;С;Дмитрушки
7124382800;;ДОБРОВОДІВСЬКА/С.ДОБРОВОДИ;UA71060070000098837;Н;Дмитрушківська
7124382801;С;ДОБРОВОДИ;UA71060070040072426;С;Доброводи
7124383100;;ДУБІВСЬКА/С.ДУБОВА;UA71060010000027807;Н;Бабанська
7124383101;С;ДУБОВА;UA71060010050020284;С;Дубова
7124383400;;ІВАНІВСЬКА/С.ІВАНІВКА;UA71060190000086831;Н;Паланська
7124383401;С;ІВАНІВКА;UA71060190060077525;С;Іванівка
7124383402;С;ЯРОВАТКА;UA71060190180044657;С;Яроватка
7124383800;;КОРЖОВОКУТСЬКА/С.КОРЖОВИЙ КУТ;UA71060010000027807;Н;Бабанська
7124383801;С;КОРЖОВИЙ КУТ;UA71060010080072075;С;Коржовий Кут
7124383900;;КОРЖІВСЬКА/С.КОРЖОВА;UA71060010000027807;Н;Бабанська
7124383901;С;КОРЖОВА;UA71060010060044806;С;Коржова
7124384000;;КОСЕНІВСЬКА/С.КОСЕНІВКА;UA71060070000098837;Н;Дмитрушківська
7124384001;С;КОСЕНІВКА;UA71060070060033976;С;Косенівка
7124384100;;КОРЖОВОСЛОБІДСЬКА/С.КОРЖОВА СЛОБОДА;UA71060010000027807;Н;Бабанська
7124384101;С;КОРЖОВА СЛОБОДА;UA71060010070088051;С;Коржова Слобода
7124384300;;КОЧЕРЖИНСЬКА/С.КОЧЕРЖИНЦІ;UA71060190000086831;Н;Паланська
7124384301;С;КОЧЕРЖИНЦІ;UA71060190070094111;С;Кочержинці
7124384500;;КОЧУБІЇВСЬКА/С.КОЧУБІЇВКА;UA71060190000086831;Н;Паланська
7124384501;С;КОЧУБІЇВКА;UA71060190080054230;С;Кочубіївка
7124384800;;КРАСНОПІЛЬСЬКА/С.КРАСНОПІЛКА;UA71060190000086831;Н;Паланська
7124384801;С;КРАСНОПІЛКА;UA71060190090025487;С;Краснопілка
7124385100;;ЛАДИЖИНСЬКА/С.ЛАДИЖИНКА;UA71060130000099511;Н;Ладижинська
7124385101;С;ЛАДИЖИНКА;UA71060130010040774;С;Ладижинка
7124385102;С;ГОРОДНИЦЯ;UA71060130020021085;С;Городниця
7124385103;Щ;ЗАТИШОК;UA71060130100039221;Х;Затишок
7124385104;С;КОЛОДИСТЕ;UA71060130030082059;С;Колодисте
7124385105;Щ;МАЛИЙ ЗАТИШОК;UA71060130110048536;Х;Малий Затишок
7124385106;С;РИЖАВКА;UA71060130040041976;С;Рижавка
7124385107;С;ТЕКУЧА;UA71060130060028863;С;Текуча
7124385300;;МАКСИМІВСЬКА/С.МАКСИМІВКА;UA71060190000086831;Н;Паланська
7124385301;С;МАКСИМІВКА;UA71060190100069586;С;Максимівка
7124385500;;ОКСАНИНСЬКА/С.ОКСАНИНА;UA71060010000027807;Н;Бабанська
7124385501;С;ОКСАНИНА;UA71060010090090232;С;Оксанина
7124385600;;ВІЛЬШАНО-СЛОБІДСЬКА/С.ВІЛЬШАНА-СЛОБІДКА;UA71060010000027807;Н;Бабанська
7124385601;С;ВІЛЬШАНА-СЛОБІДКА;UA71060010030026467;С;Вільшана-Слобідка
7124385700;;ВІЛЬШАНСЬКА/С.ВІЛЬШАНКА;UA71060010000027807;Н;Бабанська
7124385701;С;ВІЛЬШАНКА;UA71060010040068538;С;Вільшанка
7124385800;;ОСТРІВЕЦЬКА/С.ОСТРІВЕЦЬ;UA71060010000027807;Н;Бабанська
7124385801;С;ОСТРІВЕЦЬ;UA71060010100054269;С;Острівець
7124386100;;ПАЛАНСЬКА/С.ПАЛАНКА;UA71060190000086831;Н;Паланська
7124386101;С;ПАЛАНКА;UA71060190010063229;С;Паланка
7124386200;;ПІКІВЕЦЬКА/С.ПІКІВЕЦЬ;UA71060190000086831;Н;Паланська
7124386201;С;ПІКІВЕЦЬ;UA71060190110077892;С;Піківець
7124386400;;ПОЛЯНЕЦЬКА/С.ПОЛЯНЕЦЬКЕ;UA71060210000032972;Н;Уманська
7124386401;С;ПОЛЯНЕЦЬКЕ;UA71060210020086407;С;Полянецьке
7124386500;;ПУГАЧІВСЬКА/С.ПУГАЧІВКА;UA71060070000098837;Н;Дмитрушківська
7124386501;С;ПУГАЧІВКА;UA71060070070076251;С;Пугачівка
7124386600;;ПОСУХІВСЬКА/С.ПОСУХІВКА;UA71060190000086831;Н;Паланська
7124386601;С;ПОСУХІВКА;UA71060190120046713;С;Посухівка
7124386700;;РОДНИКІВСЬКА/С.РОДНИКІВКА;UA71060190000086831;Н;Паланська
7124386701;С;РОДНИКІВКА;UA71060190130080277;С;Родниківка
7124386800;;РОГІВСЬКА/С.РОГОВА;UA71060010000027807;Н;Бабанська
7124386801;С;РОГОВА;UA71060010110045285;С;Рогова
7124387000;;РОПОТУСЬКА/С.РОПОТУХА;UA71060130000099511;Н;Ладижинська
7124387001;С;РОПОТУХА;UA71060130050059990;С;Ропотуха
7124387400;;СВИНАРСЬКА/С.СВИНАРКА;UA71060010000027807;Н;Бабанська
7124387401;С;СВИНАРКА;UA71060010120065443;С;Свинарка
7124387500;;СОБКІВСЬКА/С.СОБКІВКА;UA71060070000098837;Н;Дмитрушківська
7124387501;С;СОБКІВКА;UA71060070080097577;С;Собківка
7124387700;;СТАРОБАБАНІВСЬКА/С.СТАРІ БАБАНИ;UA71060070000098837;Н;Дмитрушківська
7124387701;С;СТАРІ БАБАНИ;UA71060070090041081;С;Старі Бабани
7124387800;;СТЕПКІВСЬКА/С.СТЕПКІВКА;UA71060070000098837;Н;Дмитрушківська
7124387801;С;СТЕПКІВКА;UA71060070100059746;С;Степківка
7124388000;;СУШКІВСЬКА/С.СУШКІВКА;UA71060070000098837;Н;Дмитрушківська
7124388001;С;СУШКІВКА;UA71060070110020791;С;Сушківка
7124388002;С;ЗАЯЧКІВКА;UA71060070050015497;С;Заячківка
7124388300;;ТАНСЬКА/С.ТАНСЬКЕ;UA71060070000098837;Н;Дмитрушківська
7124388301;С;ТАНСЬКЕ;UA71060070120011495;С;Танське
7124388900;;ТОМАШІВСЬКА/С.ТОМАШІВКА;UA71060190000086831;Н;Паланська
7124388901;С;ТОМАШІВКА;UA71060190150054618;С;Томашівка
7124389000;;ФУРМАНСЬКА/С.ФУРМАНКА;UA71060130000099511;Н;Ладижинська
7124389001;С;ФУРМАНКА;UA71060130070025985;С;Фурманка
7124389200;;ЧЕРПОВОДІВСЬКА/С.ЧЕРПОВОДИ;UA71060190000086831;Н;Паланська
7124389201;С;ЧЕРПОВОДИ;UA71060190160014469;С;Черповоди
7124389300;;ШАРИНСЬКА/С.ШАРИН;UA71060130000099511;Н;Ладижинська
7124389301;С;ШАРИН;UA71060130080082068;С;Шарин
7124389500;;ЮРКІВСЬКА/С.ЮРКІВКА;UA71060190000086831;Н;Паланська
7124389501;С;ЮРКІВКА;UA71060190170056642;С;Юрківка
7124389800;;ЯТРАНІВСЬКА/С.ЯТРАНІВКА;UA71060130000099511;Н;Ладижинська
7124389801;С;ЯТРАНІВКА;UA71060130090092650;С;Ятранівка
7124600000;;ХРИСТИНІВСЬКИЙ РАЙОН/М.ХРИСТИНІВКА;UA71060000000030325;Р;Уманський
7124610000;;МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ХРИСТИНІВСЬКОГО Р-НУ;UA71060000000030325;Р;Уманський
7124610100;М;ХРИСТИНІВКА;UA71060230010046648;M;Христинівка
7124655000;;СЕЛИЩА МІСЬКОГО ТИПУ ХРИСТИНІВСЬКОГО Р-НУ;UA71060000000030325;Р;Уманський
7124655300;Т;ВЕРХНЯЧКА;UA71060230020018190;Т;Верхнячка
7124680000;;СІЛЬРАДИ ХРИСТИНІВСЬКОГО Р-НУ;UA71060000000030325;Р;Уманський
7124680500;;БОТВИНІВСЬКА/С.БОТВИНІВКА;UA71060230000095772;Н;Христинівська
7124680501;С;БОТВИНІВКА;UA71060230040069144;С;Ботвинівка
7124680502;С;ГРЕБЛЯ;UA71060230100066978;С;Гребля
7124681000;;ВЕЛИКОСЕВАСТЯНІВСЬКА/С.ВЕЛИКА СЕВАСТЯНІВКА;UA71060230000095772;Н;Христинівська
7124681001;С;ВЕЛИКА СЕВАСТЯНІВКА;UA71060230050030378;С;Велика Севастянівка
7124681500;;ВЕРБУВАТСЬКА/С.ВЕРБУВАТА;UA71060230000095772;Н;Христинівська
7124681501;С;ВЕРБУВАТА;UA71060230060070913;С;Вербувата
7124681502;С;БАГАЧІВКА;UA71060230030011834;С;Багачівка
7124681503;С;МАЛА ІВАНІВКА;UA71060230170042014;С;Мала Іванівка
7124682000;;ЗАЯЧКІВСЬКА/С.ЗАЯЧКІВКА;UA71060230000095772;Н;Христинівська
7124682001;С;ЗАЯЧКІВКА;UA71060230110082455;С;Заячківка
7124682200;;ЗОРЯНСЬКА/С.ЗОРЯНЕ;UA71060230000095772;Н;Христинівська
7124682201;С;ЗОРЯНЕ;UA71060230120058437;С;Зоряне
7124682500;;ІВАНГОРОДСЬКА/С.ІВАНГОРОД;UA71060230000095772;Н;Христинівська
7124682501;С;ІВАНГОРОД;UA71060230130035844;С;Івангород
7124683000;;КУЗЬМИНО-ГРЕБЕЛЬСЬКА/С.КУЗЬМИНА ГРЕБЛЯ;UA71060230000095772;Н;Христинівська
7124683001;С;КУЗЬМИНА ГРЕБЛЯ;UA71060230150080917;С;Кузьмина Гребля
7124683003;Щ;ХАСАНІВКА;UA71060230330012918;Х;Хасанівка
7124683500;;ЛІЩИНІВСЬКА/С.ЛІЩИНІВКА;UA71060230000095772;Н;Христинівська
7124683501;С;ЛІЩИНІВКА;UA71060230160021653;С;Ліщинівка
7124684000;;МАЛОСЕВАСТЯНІВСЬКА/С.МАЛА СЕВАСТЯНІВКА;UA71060230000095772;Н;Христинівська
7124684001;С;МАЛА СЕВАСТЯНІВКА;UA71060230180079285;С;Мала Севастянівка
7124684002;С;ВІЛЬШАНКА;UA71060230090015531;С;Вільшанка
7124684003;Щ;ІВАНІВКА;UA71060230310047217;Х;Іванівка
7124684004;С;КОЗАЧЕ;UA71060230140086882;С;Козаче
7124684500;;ОРАДІВСЬКА/С.ОРАДІВКА;UA71060230000095772;Н;Христинівська
7124684501;С;ОРАДІВКА;UA71060230190020993;С;Орадівка
7124684700;;ОСІТНЯНСЬКА/С.ОСІТНА;UA71060230000095772;Н;Христинівська
7124684701;С;ОСІТНА;UA71060230200019819;С;Осітна
7124685000;;ПЕНІЖКІВСЬКА/С.ПЕНІЖКОВЕ;UA71060230000095772;Н;Христинівська
7124685001;С;ПЕНІЖКОВЕ;UA71060230210098536;С;Пеніжкове
7124685500;;РОЗСІШКІВСЬКА/С.РОЗСІШКИ;UA71060230000095772;Н;Христинівська
7124685501;С;РОЗСІШКИ;UA71060230220059320;С;Розсішки
7124685502;С;ВЕСЕЛІВКА;UA71060230070061488;С;Веселівка
7124686000;;СИНИЦЬКА/С.СИНИЦЯ;UA71060190000086831;Н;Паланська
7124686001;С;СИНИЦЯ;UA71060190140015674;С;Синиця
7124686500;;СИЧІВСЬКА/С.СИЧІВКА;UA71060230000095772;Н;Христинівська
7124686501;С;СИЧІВКА;UA71060230230023259;С;Сичівка
7124686502;Щ;СИЧІ;UA71060230320068155;Х;Сичі
7124686503;Щ;ЯРИ;UA71060230340050990;Х;Яри
7124686600;;ТАЛАЛАЇВСЬКА/С.ТАЛАЛАЇВКА;UA71060230000095772;Н;Христинівська
7124686601;С;ТАЛАЛАЇВКА;UA71060230240096322;С;Талалаївка
7124687000;;УГЛУВАТСЬКА/С.УГЛУВАТКА;UA71060230000095772;Н;Христинівська
7124687001;С;УГЛУВАТКА;UA71060230250067733;С;Углуватка
7124687003;С;ЧАЙКІВКА;UA71060230270069503;С;Чайківка
7124687500;;ХРИСТИНІВСЬКА/С.ХРИСТИНІВКА;UA71060230000095772;Н;Христинівська
7124687501;С;ХРИСТИНІВКА;UA71060230260024910;С;Христинівка
7124688000;;ШЕЛЬПАХІВСЬКА/С.ШЕЛЬПАХІВКА;UA71060230000095772;Н;Христинівська
7124688001;С;ШЕЛЬПАХІВКА;UA71060230280044355;С;Шельпахівка
7124688500;;ШУКАЙВОДСЬКА/С.ШУКАЙВОДА;UA71060230000095772;Н;Христинівська
7124688501;С;ШУКАЙВОДА;UA71060230290020525;С;Шукайвода
7124688502;С;ВІКТОРІВКА;UA71060230080032184;С;Вікторівка
7124689000;;ЯГУБЕЦЬКА/С.ЯГУБЕЦЬ;UA71060230000095772;Н;Христинівська
7124689001;С;ЯГУБЕЦЬ;UA71060230300082997;С;Ягубець
7124900000;;ЧЕРКАСЬКИЙ РАЙОН/М.ЧЕРКАСИ;UA71080000000036344;Р;Черкаський
7124955000;;СЕЛИЩА МІСЬКОГО ТИПУ ЧЕРКАСЬКОГО Р-НУ;UA71080000000036344;Р;Черкаський
7124955300;Т;ІРДИНЬ;UA71080050020063634;Т;Ірдинь
7124980000;;СІЛЬРАДИ ЧЕРКАСЬКОГО Р-НУ;UA71080000000036344;Р;Черкаський
7124980500;;БАЙБУЗІВСЬКА/С.БАЙБУЗИ;UA71080290000067044;Н;Мошнівська
7124980501;С;БАЙБУЗИ;UA71080290020053462;С;Байбузи
7124980503;Щ;ЗАКРЕВКИ;UA71080290140092018;Х;Закревки
7124981000;;БІЛОЗІРСЬКА/С.БІЛОЗІР'Я;UA71080050000028174;Н;Білозірська
7124981001;С;БІЛОЗІР'Я;UA71080050010052971;С;Білозір’я
7124981002;Щ;БАСИ;UA71080050030010928;Х;Баси
7124981500;;БУДИЩЕНСЬКА/С.БУДИЩЕ;UA71080090000075810;Н;Будищенська
7124981501;С;БУДИЩЕ;UA71080090010064003;С;Будище
7124981502;С;ЛОЗІВОК;UA71080090030026646;С;Лозівок
7124981503;С;ЄЛИЗАВЕТІВКА;UA71080090020056674;С;Єлизаветівка
7124981505;С;НОВОСЕЛІВКА;UA71080090040085319;С;Новоселівка
7124983000;;ДУБІЇВСЬКА/С.ДУБІЇВКА;UA71080350000033809;Н;Руськополянська
7124983001;С;ДУБІЇВКА;UA71080350030094256;С;Дубіївка
7124983500;;ДУМАНЕЦЬКА/С.ДУМАНЦІ;UA71080190000038712;Н;Леськівська
7124983501;С;ДУМАНЦІ;UA71080190020051169;С;Думанці
7124983503;С;ЧУБІВКА;UA71080190050058159;С;Чубівка
7124984000;;КУМЕЙКІВСЬКА/С.КУМЕЙКИ;UA71080290000067044;Н;Мошнівська
7124984001;С;КУМЕЙКИ;UA71080290060012793;С;Кумейки
7124984003;С;ГУТА МЕЖИРІЦЬКА;UA71080290040013039;С;Гута Межиріцька
7124984500;;ЛЕСЬКІВСЬКА/С.ЛЕСЬКИ;UA71080190000038712;Н;Леськівська
7124984501;С;ЛЕСЬКИ;UA71080190010052205;С;Леськи
7124984502;С;ХУДЯКИ;UA71080190030061080;С;Худяки
7124985000;;МОШНІВСЬКА/С.МОШНИ;UA71080290000067044;Н;Мошнівська
7124985001;С;МОШНИ;UA71080290010022085;С;Мошни
7124985200;;РУСЬКОПОЛЯНСЬКА/С.РУСЬКА ПОЛЯНА;UA71080350000033809;Н;Руськополянська
7124985201;С;РУСЬКА ПОЛЯНА;UA71080350010034182;С;Руська Поляна
7124985202;С;ГЕРОНИМІВКА;UA71080350020056781;С;Геронимівка
7124985500;;САГУНІВСЬКА/С.САГУНІВКА;UA71080370000064287;Н;Сагунівська
7124985501;С;САГУНІВКА;UA71080370010033351;С;Сагунівка
7124986000;;СВИДІВОЦЬКА/С.СВИДІВОК;UA71080090000075810;Н;Будищенська
7124986001;С;СВИДІВОК;UA71080090050099332;С;Свидівок
7124986002;Щ;СОКИРНА;UA71080090060079505;Х;Сокирна
7124986500;;СОФІЇВСЬКА/С.СОФІЇВКА;UA71080290000067044;Н;Мошнівська
7124986501;С;СОФІЇВКА;UA71080290080065837;С;Софіївка
7124986502;С;ГУТА СТАНІСЛАВЧИЦЬКА;UA71080290050039031;С;Гута Станіславчицька
7124986505;С;СТАНІСЛАВЧИК;UA71080290090093578;С;Станіславчик
7124986507;С;ШЕЛЕПУХИ;UA71080290120027436;С;Шелепухи
7124987000;;СТЕПАНКІВСЬКА/С.СТЕПАНКИ;UA71080430000025181;Н;Степанківська
7124987001;С;СТЕПАНКИ;UA71080430010067592;С;Степанки
7124987003;С;БУЗУКІВ;UA71080430020081212;С;Бузуків
7124987500;;ТУБІЛЬЦІВСЬКА/С.ТУБІЛЬЦІ;UA71080290000067044;Н;Мошнівська
7124987501;С;ТУБІЛЬЦІ;UA71080290100054710;С;Тубільці
7124987502;С;БЕРЕЗНЯКИ;UA71080290030018821;С;Березняки
7124987503;С;ХРЕЩАТИК;UA71080290110041930;С;Хрещатик
7124987505;С;ПЕРВОМАЙСЬКЕ;UA71080290070054246;С;Первомайське
7124988000;;ХАЦЬКІВСЬКА/С.ХАЦЬКИ;UA71080430000025181;Н;Степанківська
7124988001;С;ХАЦЬКИ;UA71080430070057427;С;Хацьки
7124989000;;ЧЕРВОНОСЛОБІДСЬКА/С.ЧЕРВОНА СЛОБОДА;UA71080470000038153;Н;Червонослобідська
7124989001;С;ЧЕРВОНА СЛОБОДА;UA71080470010093292;С;Червона Слобода
7124989002;С;ВЕРГУНИ;UA71080470020011950;С;Вергуни
7124989003;С;НЕЧАЇВКА;UA71080470030090173;С;Нечаївка
7124989004;С;ХУТОРИ;UA71080470040090735;С;Хутори
7124989200;;ЧОРНЯВСЬКА/С.ЧОРНЯВКА;UA71080190000038712;Н;Леськівська
7124989201;С;ЧОРНЯВКА;UA71080190040011273;С;Чорнявка
7124989500;;ЯСНОЗІРСЬКА/С.ЯСНОЗІР'Я;UA71080290000067044;Н;Мошнівська
7124989501;С;ЯСНОЗІР'Я;UA71080290130039868;С;Яснозір’я
7125100000;;ЧОРНОБАЇВСЬКИЙ РАЙОН/СМТ ЧОРНОБАЙ;UA71040000000022553;Р;Золотоніський
7125155000;;СЕЛИЩА МІСЬКОГО ТИПУ ЧОРНОБАЇВСЬКОГО Р-НУ;UA71040000000022553;Р;Золотоніський
7125155100;Т;ЧОРНОБАЙ;UA71040190010053311;T;Чорнобай
7125155101;С;САВКІВКА;UA71040190190067716;С;Савківка
7125180000;;СІЛЬРАДИ ЧОРНОБАЇВСЬКОГО Р-НУ;UA71040000000022553;Р;Золотоніський
7125180400;;БОГОДУХІВСЬКА/С.БОГОДУХІВКА;UA71040190000080571;Н;Чорнобаївська
7125180401;С;БОГОДУХІВКА;UA71040190030071064;С;Богодухівка
7125180800;;ВАСЮТИНСЬКА/С.ВАСЮТИНЦІ;UA71040130000029175;Н;Іркліївська
7125180801;С;ВАСЮТИНЦІ;UA71040130030022802;С;Васютинці
7125181200;;ВЕЛИКОБУРІМСЬКА/С.ВЕЛИКА БУРІМКА;UA71040190000080571;Н;Чорнобаївська
7125181201;С;ВЕЛИКА БУРІМКА;UA71040190040047139;С;Велика Бурімка
7125181202;С;МИХАЙЛІВКА;UA71040190140018957;С;Михайлівка
7125181600;;ВЕЛИКОКАНІВЕЦЬКА/С.ВЕЛИКІ КАНІВЦІ;UA71040190000080571;Н;Чорнобаївська
7125181601;С;ВЕЛИКІ КАНІВЦІ;UA71040190050088982;С;Великі Канівці
7125181602;С;МАЛІ КАНІВЦІ;UA71040190120046765;С;Малі Канівці
7125182000;;ВЕРЕМІЇВСЬКА/С.ВЕРЕМІЇВКА;UA71040130000029175;Н;Іркліївська
7125182001;С;ВЕРЕМІЇВКА;UA71040130040029748;С;Вереміївка
7125182200;;ВЕСЕЛОХУТІРСЬКА/С.ВЕСЕЛИЙ ХУТІР;UA71040190000080571;Н;Чорнобаївська
7125182201;С;ВЕСЕЛИЙ ХУТІР;UA71040190070094605;С;Веселий Хутір
7125182400;;ЖОВНИНСЬКА/С.ЖОВНИНЕ;UA71040130000029175;Н;Іркліївська
7125182401;С;ЖОВНИНЕ;UA71040130060070146;С;Жовнине
7125182800;;ІРКЛІЇВСЬКА/С.ІРКЛІЇВ;UA71040130000029175;Н;Іркліївська
7125182801;С;ІРКЛІЇВ;UA71040130010023974;С;Іркліїв
7125182802;С;ЗАГОРОДИЩЕ;UA71040130070074601;С;Загородище
7125182803;С;СКОРОДИСТИК;UA71040130180016863;С;Скородистик
7125182804;С;ЧЕРВОНОГІРКА;UA71040130220048104;С;Червоногірка
7125182805;С;ВОРОНИНЦІ;UA71040130050048109;С;Воронинці
7125182806;С;МЕЛЬНИКИ;UA71040130130078382;С;Мельники
7125182807;С;ЧЕРВОНОХИЖИНЦІ;UA71040130230077987;С;Червонохижинці
7125183200;;КЛІЩИНСЬКА/С.КЛІЩИНЦІ;UA71040130000029175;Н;Іркліївська
7125183201;С;КЛІЩИНЦІ;UA71040130080096843;С;Кліщинці
7125183400;;ПРИВІТНЕНСЬКА/С-ЩЕ ПРИВІТНЕ;UA71040190000080571;Н;Чорнобаївська
7125183401;Щ;ПРИВІТНЕ;UA71040190260012478;Х;Привітне
7125183600;;КРАСЕНІВСЬКА/С.КРАСЕНІВКА;UA71040190000080571;Н;Чорнобаївська
7125183601;С;КРАСЕНІВКА;UA71040190090053773;С;Красенівка
7125183602;Щ;ІВАНІВКА;UA71040190250083468;Х;Іванівка
7125184000;;ХРЕСТИТЕЛІВСЬКА/С.ХРЕСТИТЕЛЕВЕ;UA71040190000080571;Н;Чорнобаївська
7125184001;С;ХРЕСТИТЕЛЕВЕ;UA71040190230091027;С;Хрестителеве
7125184002;С;МАР'ЯНІВКА;UA71040190130086631;С;Мар’янівка
7125184400;;КРУТЬКІВСЬКА/С.КРУТЬКИ;UA71040130000029175;Н;Іркліївська
7125184401;С;КРУТЬКИ;UA71040130100019227;С;Крутьки
7125184402;Щ;ЖУРАВЛИНЕ;UA71040130250074457;Х;Журавлине
7125184403;С;ЧЕХІВКА;UA71040130240059918;С;Чехівка
7125184800;;СТЕПІВСЬКА/С.СТЕПОВЕ;UA71040130000029175;Н;Іркліївська
7125184801;С;СТЕПОВЕ;UA71040130200061772;С;Степове
7125185000;;ЛИХОЛІТСЬКА/С.ЛИХОЛІТИ;UA71040130000029175;Н;Іркліївська
7125185001;С;ЛИХОЛІТИ;UA71040130110028161;С;Лихоліти
7125185200;;ЛУКАШІВСЬКА/С.ЛУКАШІВКА;UA71040190000080571;Н;Чорнобаївська
7125185201;С;ЛУКАШІВКА;UA71040190100091000;С;Лукашівка
7125185202;С;ВЕСЕЛИЙ ПОДІЛ;UA71040190060071136;С;Веселий Поділ
7125185203;Щ;ВИШНІВКА;UA71040190240094698;Х;Вишнівка
7125185204;С;ГРИГОРІВКА;UA71040190080044225;С;Григорівка
7125185205;С;НОВОСЕЛИЦЯ;UA71040190170099827;С;Новоселиця
7125185600;;ЛЯЩІВСЬКА/С.ЛЯЩІВКА;UA71040130000029175;Н;Іркліївська
7125185601;С;ЛЯЩІВКА;UA71040130120039867;С;Лящівка
7125186000;;МАЛОБУРІМСЬКА/С.МАЛА БУРІМКА;UA71040190000080571;Н;Чорнобаївська
7125186001;С;МАЛА БУРІМКА;UA71040190110078502;С;Мала Бурімка
7125186800;;МОСКАЛЕНКІВСЬКА/С.МОСКАЛЕНКИ;UA71040130000029175;Н;Іркліївська
7125186801;С;МОСКАЛЕНКИ;UA71040130140044189;С;Москаленки
7125187000;;МОХНАЦЬКА/С.МОХНАЧ;UA71040190000080571;Н;Чорнобаївська
7125187001;С;МОХНАЧ;UA71040190150026679;С;Мохнач
7125187003;С;СТАРИЙ МОХНАЧ;UA71040190200087162;С;Старий Мохнач
7125187200;;НОВОЖИТТІВСЬКА/С.НОВЕ ЖИТТЯ;UA71040190000080571;Н;Чорнобаївська
7125187201;С;НОВЕ ЖИТТЯ;UA71040190160077977;С;Нове Життя
7125187202;С;ТАРАСІВКА;UA71040190210018867;С;Тарасівка
7125187600;;НОВОУКРАЇНСЬКА/С.НОВОУКРАЇНКА;UA71040190000080571;Н;Чорнобаївська
7125187601;С;НОВОУКРАЇНКА;UA71040190180021990;С;Новоукраїнка
7125187900;;ПЕРШОТРАВНЕВА/С.ПЕРШОТРАВНЕВЕ;UA71040130000029175;Н;Іркліївська
7125187901;С;ПЕРШОТРАВНЕВЕ;UA71040130150080442;С;Першотравневе
7125188000;;ПРИДНІПРОВСЬКА/С.ПРИДНІПРОВСЬКЕ;UA71040130000029175;Н;Іркліївська
7125188001;С;ПРИДНІПРОВСЬКЕ;UA71040130160035454;С;Придніпровське
7125188002;С;КОВРАЙ;UA71040130090073522;С;Коврай
7125188400;;РЕВБИНСЬКА/С.РЕВБИНЦІ;UA71040130000029175;Н;Іркліївська
7125188401;С;РЕВБИНЦІ;UA71040130170090239;С;Ревбинці
7125188800;;СТАРОКОВРАЙСЬКА/С.СТАРИЙ КОВРАЙ;UA71040130000029175;Н;Іркліївська
7125188801;С;СТАРИЙ КОВРАЙ;UA71040130190020695;С;Старий Коврай
7125188802;Щ;МИРНЕ;UA71040130260016796;Х;Мирне
7125189200;;ТИМЧЕНКІВСЬКА/С.ТИМЧЕНКИ;UA71040130000029175;Н;Іркліївська
7125189201;С;ТИМЧЕНКИ;UA71040130210026778;С;Тимченки
7125189202;С;БАТАЛИЙ;UA71040130020037159;С;Баталий
7125189600;;ФРАНКІВСЬКА/С.ФРАНКІВКА;UA71040190000080571;Н;Чорнобаївська
7125189601;С;ФРАНКІВКА;UA71040190220066344;С;Франківка
7125189602;С;БАКАЄВЕ;UA71040190020063911;С;Бакаєве
7125400000;;ЧИГИРИНСЬКИЙ РАЙОН/М.ЧИГИРИН;UA71080000000036344;Р;Черкаський
7125410000;;МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ЧИГИРИНСЬКОГО Р-НУ;UA71080000000036344;Р;Черкаський
7125410100;М;ЧИГИРИН;UA71080510010036826;M;Чигирин
7125410101;Щ;ЧЕРНЕЧЕ;UA71080510250066138;Х;Чернече
7125410102;С;ГАЛАГАНІВКА;UA71080510050077419;С;Галаганівка
7125410103;С;КРАСНОСІЛЛЯ;UA71080510070073579;С;Красносілля
7125410104;С;МАТВІЇВКА;UA71080510080056559;С;Матвіївка
7125410105;С;ПОГОРІЛЬЦІ;UA71080510100061938;С;Погорільці
7125410106;С;РОЗСОШИНЦІ;UA71080510130043436;С;Розсошинці
7125410107;Щ;СКАРЖИНКА;UA71080510240058193;Х;Скаржинка
7125410108;С;СТЕЦІВКА;UA71080510150034247;С;Стецівка
7125410109;С;СУБОТІВ;UA71080510160068895;С;Суботів
7125410110;С;ТІНЬКИ;UA71080510180052908;С;Тіньки
7125480000;;СІЛЬРАДИ ЧИГИРИНСЬКОГО Р-НУ;UA71080000000036344;Р;Черкаський
7125480500;;БОРОВИЦЬКА/С.БОРОВИЦЯ;UA71080370000064287;Н;Сагунівська
7125480501;С;БОРОВИЦЯ;UA71080370020079095;С;Боровиця
7125481000;;ВЕРШАЦЬКА/С.ВЕРШАЦІ;UA71080510000028067;Н;Чигиринська
